,업종명,영업자시작일,업소명,소재지지번주소,lat,lng
59,일반음식점,1996-08-14,갑순이네손맛,광주광역시 동구 서석동 42-11 ,35.1468474,126.9229006
60,일반음식점,1997-04-07,남동숯불갈비,광주광역시 동구 계림동 522-9 ,35.1597535,126.925143
61,일반음식점,1997-05-01,민속손칼국수,광주광역시 동구 학동 61-46 ,35.1398315,126.9218408
62,일반음식점,1997-05-09,박서방국밥,광주광역시 동구 계림동 546-35 ,35.1641766,126.918152
63,일반음식점,1997-06-17,동보성,광주광역시 동구 금남로5가 62-8 ,35.152463,126.9114027
64,일반음식점,1997-11-25,도화식당,광주광역시 동구 계림동 486-6 ,35.1570539,126.9183626
65,일반음식점,1997-12-09,진성오리촌,광주광역시 동구 대인동 313-10 ,35.1534434,126.9164996
66,일반음식점,1998-05-23,더조은,광주광역시 동구 지산동 250-17 ,35.1491889,126.9371564
67,일반음식점,1998-07-27,동부식당,광주광역시 동구 서석동 50-1 1층 ,35.14613980000001,126.92219
68,일반음식점,1998-09-07,장수식당,광주광역시 동구 장동 101-72 ,35.1475403,126.9225644
69,일반음식점,1998-10-23,스넥코너(우동),광주광역시 동구 계림동 100-11 (2층)212호 ,35.1637254,126.9203247
70,일반음식점,1998-11-03,황태촌,광주광역시 동구 지산동 713-10 ,35.1519715,126.9325525
71,일반음식점,1998-11-20,영광식당,광주광역시 동구 계림동 393-1 (1층) ,35.1543111,126.9182727
72,일반음식점,1999-01-14,금남분식,광주광역시 동구 금남로5가 94-12 (1층) ,35.1522973,126.9130226
73,일반음식점,1999-04-08,나주식당,광주광역시 동구 대인동 307-38 ,35.154253,126.9180276
74,일반음식점,1999-04-12,학사촌,광주광역시 동구 서석동 7-20 ,35.1450998,126.9258745
75,일반음식점,1999-08-27,다시식당,"광주광역시 동구 대인동 307-2 (나동 6,7호) ",35.1540833,126.9181967
76,일반음식점,1999-12-08,명성식당,광주광역시 동구 학동 55-12 (1층) ,35.1394433,126.9210646
77,일반음식점,2000-01-13,토박이식당,광주광역시 동구 서석동 435-12 ,35.1444416,126.9254387
78,일반음식점,2000-02-11,서강식당,광주광역시 동구 계림동 486-6 ,35.1570539,126.9183626
79,일반음식점,2000-02-25,중화반점,광주광역시 동구 소태동 914 ,35.1284715,126.9275587
80,일반음식점,2000-03-25,푸른스넥,광주광역시 동구 남동 67-1 ,35.143452,126.921804
81,일반음식점,2000-06-13,창평국밥,광주광역시 동구 학동 781-3 (1층) ,35.1313495,126.9323422
82,일반음식점,2000-07-01,낙지마을,광주광역시 동구 지산동 342-70 (지하) ,35.1509353,126.9338215
83,일반음식점,2000-09-06,맛있는집,광주광역시 동구 지산동 445-8 ,35.1482819,126.932729
84,일반음식점,2000-10-25,뚝배기추어탕,광주광역시 동구 계림동 560-8 ,35.1622823,126.918199
85,일반음식점,2000-11-16,엄마네,광주광역시 동구 금동 77 (1층) ,35.1436822,126.9161835
86,일반음식점,2000-12-04,명지원,광주광역시 동구 계림동 465-35 ,35.156672,126.9184961
87,일반음식점,2001-03-03,삼일식당,광주광역시 동구 계림동 486-6 ,35.1570539,126.9183626
88,일반음식점,2001-06-04,골목포장마차,광주광역시 동구 불로동 106-6 ,35.1458339,126.9152891
89,일반음식점,2001-06-18,여자만,광주광역시 동구 서석동 469-4 ,35.1437298,126.9241542
90,일반음식점,2001-07-09,청진해장국,광주광역시 동구 서석동 468 ,35.1445029,126.9252404
91,일반음식점,2001-07-18,산수유,"광주광역시 동구 지산동 709-15 (1층,지하1) ",35.1492332,126.9342026
92,일반음식점,2001-08-07,김밥천국,광주광역시 동구 산수동 539-16 ,35.1549756,126.9322103
93,일반음식점,2001-09-26,태화,광주광역시 동구 수기동 60 ,35.14941090000001,126.9120019
94,일반음식점,2001-09-27,대운,광주광역시 동구 계림동 253-31 ,35.1552186,126.9208838
95,일반음식점,2001-10-31,청우식육식당,광주광역시 동구 대인동 67-1 1층 ,35.152906,126.915373
96,일반음식점,2001-11-01,삼원,광주광역시 동구 충장로4가 57-1 (1층) ,35.1492631,126.9122069
97,일반음식점,2001-11-09,금강해물탕,광주광역시 동구 호남동 32-22 ,35.14805339999999,126.9124052
98,일반음식점,2001-11-23,돈순이촌,광주광역시 동구 학동 778 ,35.1316317,126.9323462
99,일반음식점,2001-12-13,청원모밀,광주광역시 동구 충장로3가 31-7 ,35.1491409,126.9144583
100,일반음식점,2002-01-07,화롯불,광주광역시 동구 서석동 470-32 ,35.1434867,126.9234771
101,휴게음식점,2002-01-23,광민,광주광역시 동구 대인동 103-1 (지하) ,35.1523941,126.9148772
102,일반음식점,2002-01-24,대장금,광주광역시 동구 서석동 350-2 (1층) ,35.1442964,126.9298082
103,일반음식점,2002-02-26,광주양동닭전머리·수일통닭동구점,광주광역시 동구 산수동 556-3 (1층) ,35.15365790000001,126.9309039
104,일반음식점,2002-02-27,도이첸 충장로점,광주광역시 동구 황금동 63 ,35.1464671,126.9164407
105,일반음식점,2002-03-26,돼지갈비막창구이,광주광역시 동구 계림동 519-12 (1층) ,35.1587774,126.9272895
106,일반음식점,2002-05-23,동아리꼬치구이,광주광역시 동구 산수동 556-15 (1층) ,35.1535032,126.9311408
107,일반음식점,2002-05-30,보양죽전문점,광주광역시 동구 학동 112-1 (1층) ,35.14174149999999,126.9208324
108,일반음식점,2002-08-05,송림원,광주광역시 동구 궁동 56-3 ,35.1499772,126.9173654
109,일반음식점,2002-08-12,데이지,광주광역시 동구 학동 262-12 (1층) ,35.1343065,126.9388575
110,일반음식점,2002-10-29,산수골맛집,광주광역시 동구 산수동 508-28 (1층) ,35.1577158,126.934981
111,일반음식점,2002-11-05,스틸,"광주광역시 동구 산수동 108-8 (2,3층) ",35.1579294,126.935594
112,일반음식점,2002-11-06,제일식당,광주광역시 동구 황금동 25-3 ,35.147711,126.9158392
113,일반음식점,2002-11-09,새명가식당,광주광역시 동구 지산동 429-4 (1층) ,35.1488965,126.9343475
114,일반음식점,2002-11-11,동천장어,광주광역시 동구 대인동 27-22 ,35.1531877,126.9137132
115,일반음식점,2002-11-14,한미정,광주광역시 동구 금남로5가 59 ,35.1525822,126.9106229
116,일반음식점,2002-12-06,프르트팝,광주광역시 동구 충장로2가 23 ,35.1481307,126.9162035
117,일반음식점,2002-12-28,(주)명선헌,광주광역시 동구 지산동 58 ,35.1502798,126.9433649
118,일반음식점,2002-12-30,영암오리,광주광역시 동구 산수동 523-29 ,35.1543604,126.9329866
119,일반음식점,2003-01-04,이스타나,광주광역시 동구 동명동 230-15 (지하)1층 ,35.1518219,126.9212568
120,일반음식점,2003-01-08,새한병원구내식당,광주광역시 동구 학동 44-18 (4층) ,35.1386835,126.9240198
121,일반음식점,2003-01-23,해동회관,광주광역시 동구 학동 157 ,35.1412882,126.9196269
122,일반음식점,2003-01-24,산들밭,광주광역시 동구 지산동 713-36 (1층) ,35.1516726,126.9323786
123,일반음식점,2003-03-24,서미정,광주광역시 동구 충장로5가 60-14 1층 ,35.1505855,126.9115067
124,일반음식점,2003-04-11,명성,광주광역시 동구 계림동 254-3 ,35.1551124,126.9203924
125,일반음식점,2003-04-21,오미뚝배기,광주광역시 동구 장동 58-19 ,35.1497213,126.922934
126,일반음식점,2003-04-26,마징가,광주광역시 동구 남동 171-1 (2층) ,35.1453604,126.9186831
127,일반음식점,2003-05-02,정성,광주광역시 동구 계림동 419-1 1층 ,35.1547465,126.9174745
128,일반음식점,2003-05-06,동명가원식당,광주광역시 동구 동명동 18-12 (1층) ,35.1504965,126.9296524
129,일반음식점,2003-05-26,신락원,광주광역시 동구 학동 276-9 (1.2층) ,35.1322356,126.9354138
130,일반음식점,2003-05-26,이모네,광주광역시 동구 지산동 505-1 (1층) ,35.1453593,126.929836
131,일반음식점,2003-05-26,이모네-2,광주광역시 동구 지산동 505-1 (2층) ,35.1453593,126.929836
132,일반음식점,2003-07-09,사운드오브뮤직,광주광역시 동구 궁동 14-2 (1층) ,35.150751,126.9190266
133,일반음식점,2003-07-14,계림식당,광주광역시 동구 계림동 291-3 (1층) ,35.1580853,126.9184906
134,일반음식점,2003-08-06,음식사랑,광주광역시 동구 지산동 503-3 (1층) ,35.1451044,126.9303595
135,일반음식점,2003-08-12,처갓집양념치킨(두암타운),"광주광역시 동구 산수동 568-1 (두암타운상가 104,105호) ",35.1612132,126.9349544
